Wsp. x,Wsp. y1,Wsp. y2,Wsp. y3,Wsp. y4,Wsp. y5
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
0,0,20,10,0,30
1,0,20,10,0,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
1,-12,36,10,-10,30
2,-12,36,10,-10,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
2,3,44,10,6,30
